record_id,triage_time,date,hour,weekday,month,shift,department,pharmacy_unit,priority,occurrence_type,prescriptions_count,pharmacists_on_shift,triage_time_minutes,triage_sla_minutes,delay_flag,on_time_flag,analysis_completed_flag,delivery_time_minutes,delivery_delay_flag
1,2025-01-01 13:22:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Pronto Socorro,Central,Routine,Normal Flow,21,2,44,60,0,1,1,52,0
2,2025-01-01 11:58:00,2025-01-01,11,Wednesday,2025-01,Morning,Oncologia,Central,Urgent,Stock Check,11,2,41,60,0,1,1,41,0
3,2025-01-01 10:27:00,2025-01-01,10,Wednesday,2025-01,Morning,Cirurgica II B,Central,Routine,Normal Flow,19,2,40,60,0,1,1,76,1
4,2025-01-01 13:09:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Clinica Medica A,Satelite A,Routine,System Delay,17,3,65,60,1,0,1,80,1
5,2025-01-01 09:24:00,2025-01-01,9,Wednesday,2025-01,Morning,Clinica Medica B,Central,Routine,High Demand,20,3,54,60,0,1,1,92,1
6,2025-01-01 13:32:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Pediatria,Central,Urgent,Normal Flow,12,3,30,60,0,1,1,47,0
7,2025-01-01 11:26:00,2025-01-01,11,Wednesday,2025-01,Morning,Clinica Medica B,Central,Stat,Normal Flow,15,2,41,60,0,1,1,71,0
8,2025-01-01 15:50:00,2025-01-01,15,Wednesday,2025-01,Afternoon,Clinica Medica A,Satelite B,Urgent,System Delay,12,1,67,60,1,0,1,68,0
9,2025-01-01 13:51:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Oncologia,Urgencia,Routine,Normal Flow,10,2,26,60,0,1,1,48,0
10,2025-01-01 13:48:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Cirurgica II B,Satelite A,Routine,High Demand,29,3,54,60,0,1,1,69,0
11,2025-01-01 13:05:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Maternidade,Satelite B,Routine,Normal Flow,12,2,34,60,0,1,1,37,0
12,2025-01-01 15:58:00,2025-01-01,15,Wednesday,2025-01,Afternoon,Clinica Medica A,Central,Routine,High Demand,25,1,79,60,1,0,1,110,1
13,2025-01-01 16:06:00,2025-01-01,16,Wednesday,2025-01,Afternoon,Clinica Medica B,Satelite A,Routine,Normal Flow,11,2,47,60,0,1,1,74,0
14,2025-01-01 13:32:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Cirurgica II B,Central,Routine,Normal Flow,14,2,50,60,0,1,1,63,0
15,2025-01-01 13:40:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Ortopedia,Central,Urgent,System Delay,25,1,61,60,1,0,1,74,0
16,2025-01-01 10:37:00,2025-01-01,10,Wednesday,2025-01,Morning,Oncologia,Urgencia,Routine,Normal Flow,11,2,39,60,0,1,1,63,0
17,2025-01-01 07:43:00,2025-01-01,7,Wednesday,2025-01,Morning,Pronto Socorro,Urgencia,Routine,High Demand,27,3,55,60,0,1,1,63,0
18,2025-01-01 14:30:00,2025-01-01,14,Wednesday,2025-01,Afternoon,Oncologia,Central,Routine,Normal Flow,12,3,47,60,0,1,1,48,0
19,2025-01-01 11:54:00,2025-01-01,11,Wednesday,2025-01,Morning,Cirurgica II A,Urgencia,Routine,Stock Check,16,3,55,60,0,1,1,73,0
20,2025-01-01 08:22:00,2025-01-01,8,Wednesday,2025-01,Morning,Cirurgica II A,Urgencia,Urgent,Normal Flow,27,3,51,60,0,1,1,67,0
21,2025-01-01 08:44:00,2025-01-01,8,Wednesday,2025-01,Morning,Cirurgica II B,Satelite A,Routine,High Demand,32,2,60,60,0,1,1,41,0
22,2025-01-01 13:11:00,2025-01-01,13,Wednesday,2025-01,Afternoon,Cirurgica II A,Central,Routine,Stock Check,23,4,54,60,0,1,1,81,1
23,2025-01-01 15:54:00,2025-01-01,15,Wednesday,2025-01,Afternoon,Clinica Medica B,Central,Stat,High Demand,19,2,53,60,0,1,1,89,1
24,2025-01-01 18:51:00,2025-01-01,18,Wednesday,2025-01,Night,Clinica Medica A,Satelite B,Routine,High Demand,13,3,41,60,0,1,1,52,0
25,2025-01-01 17:42:00,2025-01-01,17,Wednesday,2025-01,Afternoon,Cirurgica II B,Urgencia,Routine,Normal Flow,14,2,52,60,0,1,1,68,0
26,2025-01-01 16:49:00,2025-01-01,16,Wednesday,2025-01,Afternoon,UTI Adulto,Central,Stat,Stock Check,22,2,52,60,0,1,1,54,0
